"country_code","region","end_year","rur","wombmi_cat","wom_weight","wom_height","wom_bmi","n"
"KE","nyanza",2014,0,3,100.002159118652,163.185791015625,37.523998260498,2417.93826293945
"KE","nyanza",2014,0,,58.1630516052246,,,244700.616847992
"KE","riftvalley",2014,0,1,60.4175453186035,160.579116821289,23.4074440002441,394318.395199776
"KE","riftvalley",2014,0,2,83.0254592895508,161.058578491211,31.9307556152344,39743.5984725952
"KE","riftvalley",2014,0,3,92.649299621582,158.984222412109,36.5855560302734,11417.9159851074
"KE","riftvalley",2014,0,4,106.178199768066,153.6162109375,45.0465469360352,3188.19482421875
"KE","riftvalley",2014,0,,118.077972412109,110.299865722656,,513117.302461624
"KE","western",2014,0,1,59.7744102478027,161.538497924805,22.8690967559814,80219.0746612549
"KE","western",2014,0,2,82.4162292480469,160.761291503906,31.8494777679443,9278.85139465332
"KE","western",2014,0,3,90.2989196777344,156.53645324707,36.8554649353027,1587.29568481445
"KE","western",2014,0,4,110.800003051758,166.100006103516,40.1599998474121,337.45458984375
"KE","western",2014,0,,,,,112013.770347595
"KE","central",2014,1,1,59.8983879089355,158.905349731445,23.6596736907959,326055.454994202
"KE","central",2014,1,2,80.6588134765625,158.533142089844,32.0564804077148,55303.0440979004
"KE","central",2014,1,3,90.1298522949219,156.612991333008,36.6887092590332,6926.60427856445
"KE","central",2014,1,4,93.0661087036133,142.573959350586,46.4465599060059,2591.64099121094
"KE","central",2014,1,,156.68310546875,158.699996948242,,454956.560470581
"KE","coast",2014,1,1,53.3151397705078,156.640335083008,21.6755390167236,256541.872039795
"KE","coast",2014,1,2,78.9781112670898,157.67268371582,31.7122745513916,13023.7250366211
"KE","coast",2014,1,3,91.1909408569336,156.196258544922,37.3485107421875,2435.42149353027
"KE","coast",2014,1,4,91.2671432495117,150.347518920898,40.2963638305664,619.835712432861
"KE","coast",2014,1,,136.433288574219,151.733810424805,,320612.700157166
"KE","eastern",2014,1,1,55.5823059082031,157.622756958008,22.3287162780762,546416.898850441
"KE","eastern",2014,1,2,80.9489593505859,158.216064453125,32.3029899597168,32233.186006546
"KE","eastern",2014,1,3,89.318473815918,156.300384521484,36.4928245544434,6319.58691978455
"KE","eastern",2014,1,4,104.012382507324,155.915069580078,42.6684074401855,1532.67886352539
"KE","eastern",2014,1,,,,,642536.078369141
"KE","northeastern",2014,1,1,53.6819000244141,161.530838012695,20.5712795257568,67254.5277175903
"KE","northeastern",2014,1,2,81.2894592285156,161.726058959961,31.06223487854,941.554878234863
"KE","northeastern",2014,1,3,98.675666809082,164.310501098633,36.4887771606445,724.483116149902
"KE","northeastern",2014,1,,48.0499992370605,,,85592.6116428375
"KE","nyanza",2014,1,1,58.1826057434082,160.986145019531,22.4299449920654,466616.214630127
"KE","nyanza",2014,1,2,83.5576705932617,161.706192016602,31.9263343811035,21343.3314819336
"KE","nyanza",2014,1,3,98.6574935913086,161.932754516602,37.4954872131348,2835.65957641602
"KE","nyanza",2014,1,4,77.9690628051758,130.242874145508,45.9358978271484,1013.21801757813
"KE","nyanza",2014,1,,106.394660949707,158.899993896484,,576397.008682251
"KE","riftvalley",2014,1,1,56.2257232666016,160.712585449219,21.744987487793,880907.388818741
"KE","riftvalley",2014,1,2,81.722541809082,159.902542114258,31.9032821655273,39300.5727615356
"KE","riftvalley",2014,1,3,97.0472717285156,162.511779785156,36.6699752807617,8400.14810943604
"KE","riftvalley",2014,1,4,139.564193725586,166.66064453125,50.1746139526367,1980.00860595703
"KE","riftvalley",2014,1,,122.557289123535,137.937683105469,,1113764.4514904
"KE","western",2014,1,1,57.5446891784668,160.480651855469,22.3186092376709,472844.876434326
"KE","western",2014,1,2,83.9821243286133,161.884384155273,32.0018653869629,13477.0692138672
"KE","western",2014,1,3,96.4336471557617,162.526779174805,36.4643440246582,7727.30235290527
"KE","western",2014,1,4,90.6392440795898,140.139434814453,46.8682136535645,1530.92909240723
"KE","western",2014,1,,165.5,,,520144.350341797
"ML","bamako",2018,0,1,62.2392272949219,163.177047729492,23.3318042755127,283631.355010986
"ML","bamako",2018,0,2,87.7101974487305,164.511611938477,32.3482513427734,49537.5729980469
"ML","bamako",2018,0,3,103.044052124023,167.362121582031,36.7428741455078,12235.3152160645
"ML","bamako",2018,0,4,102.202705383301,154.916625976563,42.2473907470703,5141.35787963867
"ML","bamako",2018,0,,,,,390668.34727478
"ML","gao",2018,0,1,57.1763687133789,162.550048828125,21.6194381713867,8525.6893196106
"ML","gao",2018,0,2,82.1490325927734,160.635238647461,31.7962188720703,893.994232177734
"ML","gao",2018,0,3,95.3101196289063,159.304061889648,37.5035057067871,626.898719787598
"ML","gao",2018,0,4,109.699996948242,165.100006103516,40.25,138.334579467773
"ML","gao",2018,0,,,,,10575.7108078003
"ML","kayes",2018,0,1,60.8996047973633,164.515472412109,22.4770679473877,45098.593963623
"ML","kayes",2018,0,2,85.2506790161133,164.007827758789,31.6599159240723,2957.08099365234
"ML","kayes",2018,0,3,97.0495223999023,160.832336425781,37.5107307434082,695.168548583984
"ML","kayes",2018,0,4,106.800003051758,162.899993896484,40.25,372.923309326172
"ML","kayes",2018,0,,,,,48941.1565551758
"ML","kidal",2018,0,1,63.9257049560547,161.039001464844,24.6544857025146,1600.367800951
"ML","kidal",2018,0,2,80.2657318115234,158.116973876953,32.0667953491211,425.601449489594
"ML","kidal",2018,0,3,96.9394149780273,160.644271850586,37.5056190490723,117.458380460739
"ML","kidal",2018,0,4,104.584518432617,158.038055419922,41.8571548461914,40.37979388237
"ML","kidal",2018,0,,61.5,100.5,,1989.31881523132
"ML","koulikoro",2018,0,1,59.2964553833008,162.754150390625,22.3698177337646,24040.7584228516
"ML","koulikoro",2018,0,2,88.4500045776367,166.274993896484,32.0250015258789,2826.92578125
"ML","koulikoro",2018,0,3,101.686218261719,167.039001464844,36.4705352783203,1213.11907958984
"ML","koulikoro",2018,0,,,,,32576.6480102539
"ML","mopti",2018,0,1,60.8697624206543,163.456390380859,22.7866020202637,16685.5751342773
"ML","mopti",2018,0,2,80.090690612793,156.128265380859,32.7555313110352,2033.74307250977
"ML","mopti",2018,0,3,103.699996948242,161.199996948242,39.9099998474121,298.481964111328
"ML","mopti",2018,0,,,,,22998.0214233398
"ML","segou",2018,0,1,61.7848434448242,162.338638305664,23.357027053833,19801.0702514648
"ML","segou",2018,0,2,85.8813247680664,166.378036499023,30.9781112670898,2542.79623413086
"ML","segou",2018,0,3,96.4230117797852,162.167999267578,36.6871490478516,1297.70635986328
"ML","segou",2018,0,4,114.800003051758,162.399993896484,43.5299987792969,460.690673828125
"ML","segou",2018,0,,,,,21362.8480224609
"ML","sikasso",2018,0,1,60.1670417785645,161.975021362305,22.8984794616699,35563.1164550781
"ML","sikasso",2018,0,2,83.5707473754883,161.690582275391,31.902587890625,5818.4850769043
"ML","sikasso",2018,0,3,88.4811553955078,156.091339111328,36.3265953063965,611.641571044922
"ML","sikasso",2018,0,4,113.081665039063,167.305526733398,40.3987083435059,678.499694824219
"ML","sikasso",2018,0,,,,,43646.4370727539
"ML","toumbouctou",2018,0,1,62.1105194091797,161.390777587891,23.8257579803467,6249.40684509277
"ML","toumbouctou",2018,0,2,87.8338851928711,163.341613769531,32.8623199462891,1296.50379180908
"ML","toumbouctou",2018,0,3,87.5666656494141,156.399993896484,35.7766647338867,234.525444030762
"ML","toumbouctou",2018,0,,,,,7961.59143829346
"ML","gao",2018,1,1,57.1527900695801,162.220306396484,21.6604766845703,47395.2269439697
"ML","gao",2018,1,2,87.5879592895508,166.925064086914,31.4268531799316,1566.69753265381
"ML","gao",2018,1,,76.4000015258789,106.099998474121,,48372.3676986694
"ML","kayes",2018,1,1,56.4603157043457,162.853149414063,21.2851619720459,244811.085708618
"ML","kayes",2018,1,2,84.9735488891602,164.222793579102,31.4787883758545,7196.36744689941
"ML","kayes",2018,1,3,104.597755432129,165.271041870117,38.2263259887695,1812.09759521484
"ML","kayes",2018,1,,,,,266844.77784729
"ML","koulikoro",2018,1,1,59.1796684265137,162.298858642578,22.4224433898926,329548.742126465
"ML","koulikoro",2018,1,2,85.0029067993164,162.653793334961,32.1172142028809,17706.2170410156
"ML","koulikoro",2018,1,3,99.5028839111328,164.670196533203,36.6614456176758,8239.5446472168
"ML","koulikoro",2018,1,4,71.6873092651367,128.402603149414,41.3609580993652,2074.80606079102
"ML","koulikoro",2018,1,,,,,393479.328063965
"ML","mopti",2018,1,1,57.7174110412598,160.310699462891,22.4369277954102,186252.400268555
"ML","mopti",2018,1,2,83.7913436889648,161.028335571289,32.3063812255859,7125.27124023438
"ML","mopti",2018,1,3,102.966758728027,165.675033569336,37.4289016723633,791.171997070313
"ML","mopti",2018,1,,,,,185835.187103271
"ML","segou",2018,1,1,58.6598625183105,161.245544433594,22.5360698699951,282462.43447876
"ML","segou",2018,1,2,84.4779510498047,162.096893310547,32.0710029602051,11701.231048584
"ML","segou",2018,1,3,105.28197479248,170.761901855469,36.0878028869629,1743.86846923828
"ML","segou",2018,1,4,104.801727294922,148.146224975586,46.4655914306641,1985.02523803711
"ML","segou",2018,1,,,,,307974.043243408
"ML","sikasso",2018,1,1,55.9599266052246,160.541290283203,21.6898612976074,297957.460342407
"ML","sikasso",2018,1,2,83.7478713989258,162.518737792969,31.6791133880615,8995.32911682129
"ML","sikasso",2018,1,3,100,164.199996948242,36.9700012207031,482.070220947266
"ML","sikasso",2018,1,4,106.199996948242,154.199996948242,44.6599998474121,335.611938476563
"ML","sikasso",2018,1,,,,,321771.223220825
"ML","toumbouctou",2018,1,1,58.3890266418457,160.353286743164,22.6668395996094,63035.8232650757
"ML","toumbouctou",2018,1,2,82.8964920043945,161.727783203125,31.6634006500244,4265.17469787598
"ML","toumbouctou",2018,1,3,98.8169021606445,160.826705932617,38.0991172790527,984.15461730957
"ML","toumbouctou",2018,1,4,95.2870407104492,146.58251953125,44.5742797851563,632.914726257324
"ML","toumbouctou",2018,1,,73,103.199996948242,,71368.195892334
"NG","northcentral",2018,0,1,57.0586242675781,158.591766357422,22.6309127807617,668426.559051514
"NG","northcentral",2018,0,2,81.790283203125,159.541870117188,32.1110420227051,65434.6981811523
"NG","northcentral",2018,0,3,91.5735244750977,157.980667114258,36.6475563049316,26363.7456970215
"NG","northcentral",2018,0,4,113.862251281738,160.82633972168,44.0374031066895,7151.47485351563
"NG","northcentral",2018,0,,70.0999984741211,101.199996948242,,1367765.86729431
"NG","northeast",2018,0,1,53.6550559997559,158.395233154297,21.3381061553955,682973.491027832
"NG","northeast",2018,0,2,81.5996704101563,160.405227661133,31.662036895752,41932.2614746094
"NG","northeast",2018,0,3,96.2807769775391,160.504669189453,37.3439292907715,10787.9755859375
"NG","northeast",2018,0,4,114.09065246582,160.45832824707,44.5961608886719,3031.29840087891
"NG","northeast",2018,0,,49,,,1303950.65908813
"NG","northwest",2018,0,1,54.009880065918,157.559753417969,21.7224655151367,1144029.34283447
"NG","northwest",2018,0,2,81.5743179321289,158.690979003906,32.3442230224609,80676.3282470703
"NG","northwest",2018,0,3,92.378547668457,158.898376464844,36.5591049194336,24527.7020263672
"NG","northwest",2018,0,4,109.596687316895,158.993011474609,43.3193435668945,16400.2380371094
"NG","northwest",2018,0,,,,,2767122.78936768
"NG","southeast",2018,0,1,59.5857048034668,159.979721069336,23.2366275787354,1150721.29476929
"NG","southeast",2018,0,2,83.0011978149414,160.404891967773,32.2218055725098,165208.893066406
"NG","southeast",2018,0,3,96.3542251586914,161.90055847168,36.7180709838867,68606.6468811035
"NG","southeast",2018,0,4,106.442276000977,152.565795898438,45.3583793640137,18294.1133422852
"NG","southeast",2018,0,,,,,2483067.03564453
"NG","southsouth",2018,0,1,59.8819732666016,159.350860595703,23.577672958374,643838.931091309
"NG","southsouth",2018,0,2,81.8627700805664,158.759674072266,32.4161567687988,104003.681640625
"NG","southsouth",2018,0,3,96.0186996459961,161.462921142578,36.7915725708008,35487.0125732422
"NG","southsouth",2018,0,4,109.659072875977,159.298873901367,43.069766998291,15035.9193115234
"NG","southsouth",2018,0,,,,,1367808.80682373
